Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,04/08/18,Celtic,Livingston,3,1,H,2,0,H,N Walsh,21,6,10,1,11,10,12,3,1,3,0,0,1.1,11,21,1.1,9,20,1.12,8,16,1.12,8.5,29,1.11,10,28.17,1.1,10,19,1.12,9,22,39,1.14,1.11,11,8.76,29,21.5,34,1.48,1.42,2.8,2.71,18,-2.25,1.93,1.88,2.01,1.94,1.15,8.66,26.22
SC0,04/08/18,Hamilton,Hearts,1,4,A,1,1,D,A Dallas,6,20,1,10,18,10,3,6,2,2,0,0,3.5,3.4,2.04,3.5,3.4,2.05,3.6,3.3,2,3.75,3.25,2.05,3.78,3.61,2.04,3.75,3.4,1.95,3.6,3.5,2.05,38,3.82,3.63,3.61,3.35,2.1,2.03,37,2.2,2.11,1.77,1.7,18,0.25,2.16,2.06,1.82,1.76,5.13,3.78,1.76
SC0,04/08/18,Kilmarnock,St Johnstone,2,0,H,0,0,D,J Beaton,17,3,6,2,13,14,8,1,1,3,0,0,2.04,3.3,3.6,2.05,3.25,3.7,2,3.3,3.6,2.05,3.1,3.8,2.08,3.37,3.92,2,3.2,3.6,2.05,3.3,3.8,39,2.11,2.04,3.4,3.24,3.92,3.71,35,2.45,2.29,1.63,1.59,17,-0.5,2.09,2.04,1.83,1.8,2.17,3.21,3.95
SC0,04/08/18,St Mirren,Dundee,2,1,H,1,1,D,A Muir,12,10,4,5,13,18,9,6,3,1,0,0,2.5,3.25,2.8,2.35,3.2,3,2.4,3.3,2.75,2.6,3,2.87,2.57,3.32,2.92,2.5,3.3,2.8,2.55,3.2,2.88,40,2.63,2.52,3.32,3.14,3,2.85,36,2.45,2.31,1.64,1.58,18,-0.25,2.25,2.16,1.74,1.69,2.62,3.4,2.86
SC0,05/08/18,Aberdeen,Rangers,1,1,D,0,1,A,K Clancy,6,8,1,3,12,11,4,2,3,2,0,1,3.1,3.25,2.3,3,3.3,2.3,2.75,3.3,2.4,3.1,3.2,2.35,3.07,3.49,2.37,2.9,3.4,2.38,3,3.3,2.3,39,3.25,3.01,3.49,3.27,2.45,2.32,36,2.17,2.06,1.8,1.72,18,0.25,1.89,1.83,2.07,1.99,3.7,3.55,2.11
SC0,05/08/18,Hibernian,Motherwell,3,0,H,2,0,H,B Madden,12,6,4,2,11,9,0,5,1,2,0,0,1.8,3.6,4.33,1.8,3.5,4.4,1.8,3.5,4.2,1.8,3.5,4.5,1.81,3.79,4.63,1.8,3.75,4.2,1.8,3.6,4.2,38,1.85,1.8,3.79,3.54,4.63,4.31,37,2.07,1.99,1.88,1.79,17,-0.75,2.13,2.06,1.82,1.76,1.78,3.9,4.84
SC0,11/08/18,Dundee,Aberdeen,0,1,A,0,0,D,B Madden,11,15,1,3,12,15,8,12,1,3,0,0,3.4,3.4,2.1,3.6,3.3,2.05,3.65,3.25,2,3.7,3.2,2.1,3.88,3.43,2.07,3.6,3.4,2.05,3.6,3.4,2.1,36,3.88,3.62,3.43,3.29,2.15,2.06,32,2.25,2.13,1.73,1.68,17,0.25,2.14,2.06,1.82,1.76,3.74,3.54,2.1
SC0,11/08/18,Hearts,Celtic,1,0,H,0,0,D,J Beaton,14,13,7,4,18,7,0,4,5,2,0,0,5.5,4,1.57,5.75,4.1,1.53,5.1,3.9,1.6,5.5,3.9,1.6,5.58,4.2,1.65,5,4.2,1.6,5.4,4.1,1.62,36,6,5.33,4.2,4.01,1.65,1.59,33,1.84,1.76,2.11,2.01,19,1,1.85,1.78,2.13,2.03,5.91,3.78,1.69
SC0,11/08/18,Livingston,Kilmarnock,0,0,D,0,0,D,G Duncan,7,7,3,2,16,7,3,3,1,2,0,0,3.2,3.3,2.25,3.2,3.2,2.25,3.25,3.1,2.2,3.3,3.1,2.25,3.41,3.37,2.26,3.2,3.3,2.25,3.3,3.3,2.25,37,3.5,3.27,3.37,3.17,2.3,2.24,32,2.37,2.26,1.64,1.6,18,0.25,1.96,1.89,1.98,1.93,3.85,3.36,2.14
SC0,11/08/18,Motherwell,Hamilton,0,1,A,0,0,D,N Walsh,13,6,4,2,13,14,4,2,3,2,0,0,1.61,3.8,5.5,1.62,3.6,5.75,1.6,3.7,5.4,1.61,3.6,5.8,1.63,4.09,5.71,1.62,3.8,5.5,1.62,3.8,6,36,1.67,1.62,4.09,3.73,6,5.58,32,2.17,2.09,1.75,1.71,18,-0.75,1.83,1.79,2.14,2.04,1.62,3.85,6.75
SC0,12/08/18,Rangers,St Mirren,2,0,H,2,0,H,D Robertson,11,6,8,1,11,18,5,4,1,4,1,0,1.33,5,9,1.28,5.25,9.75,1.33,5.2,7.2,1.33,5,9,1.32,5.89,9.4,1.33,5.5,8,1.3,5.25,8.5,36,1.4,1.33,5.89,5.17,9.75,8.24,31,1.57,1.55,2.45,2.37,18,-1.5,2.04,1.97,1.95,1.84,1.23,7.43,12.75
SC0,12/08/18,St Johnstone,Hibernian,1,1,D,1,0,H,W Collum,12,16,1,6,7,12,10,7,1,0,0,0,3.5,3.4,2.04,3.5,3.25,2.1,3.5,3.25,2.05,3.5,3.2,2.15,3.62,3.47,2.13,3.5,3.5,2.05,3.5,3.3,2.05,36,3.65,3.5,3.5,3.29,2.2,2.07,32,2.2,2.11,1.75,1.69,18,0.25,2.09,2.01,1.88,1.81,3.16,3.26,2.49
SC0,25/08/18,Hibernian,Aberdeen,1,1,D,0,1,A,A Dallas,15,6,5,4,13,17,7,5,4,5,0,0,2.37,3.2,3,2.5,3.1,2.85,2.45,3.2,2.8,2.45,3.1,3,2.52,3.42,2.89,2.45,3.4,2.8,2.45,3.4,2.9,40,2.52,2.44,3.42,3.26,3,2.87,37,2.17,2.08,1.78,1.71,17,0,1.82,1.76,2.16,2.08,2.6,3.29,2.94
SC0,25/08/18,Kilmarnock,Hearts,0,1,A,0,0,D,W Collum,8,11,2,4,13,19,2,6,0,3,1,0,2.37,3.2,3,2.35,3.3,2.95,2.3,3.1,3.05,2.45,3.1,3,2.4,3.34,3.14,2.38,3.4,2.9,2.4,3.3,3,40,2.45,2.36,3.4,3.22,3.14,3,35,2.33,2.2,1.66,1.63,18,-0.25,2.11,2.03,1.85,1.79,2.42,3.41,3.14
SC0,25/08/18,St Johnstone,Dundee,1,0,H,0,0,D,S McLean,7,8,3,5,6,3,8,6,0,0,0,0,2.14,3.2,3.6,2.05,3.4,3.5,2.1,3.2,3.4,2.1,3.2,3.6,2.21,3.43,3.45,2.15,3.5,3.25,2.2,3.3,3.4,40,2.25,2.15,3.5,3.29,3.67,3.37,35,2.26,2.17,1.7,1.65,19,-0.25,1.93,1.86,2.06,1.95,2.23,3.45,3.46
SC0,25/08/18,St Mirren,Livingston,0,2,A,0,2,A,J Beaton,5,13,0,8,9,9,5,6,2,2,0,0,2.14,3.4,3.3,2.25,3.4,3,2.15,3.3,3.2,2.2,3.25,3.25,2.22,3.53,3.35,2.2,3.4,3.2,2.2,3.4,3.3,40,2.3,2.2,3.53,3.36,3.35,3.22,37,2.13,2.04,1.82,1.74,18,-0.25,1.96,1.89,1.98,1.93,2.39,3.25,3.35
SC0,26/08/18,Celtic,Hamilton,1,0,H,0,0,D,D Robertson,19,3,3,1,10,13,9,3,0,2,0,0,1.12,8,19,1.12,8.25,18.5,1.12,7.6,18,,,,1.12,9.92,28.3,1.11,9,21,1.09,9,21,43,1.14,1.11,10,8.68,28.3,21.54,32,1.44,1.41,2.9,2.78,23,-2.5,2.14,2.06,1.84,1.77,1.12,10.32,28.17
SC0,26/08/18,Motherwell,Rangers,3,3,D,2,3,A,C Thomson,16,11,6,6,20,17,10,5,3,2,0,0,6,3.75,1.57,5.5,3.75,1.6,5.2,4.05,1.57,5.5,4,1.6,5.44,4.36,1.61,4.8,4.4,1.6,5.2,4.1,1.57,39,6,5.28,4.4,4.07,1.61,1.58,34,1.72,1.67,2.2,2.13,18,1,1.86,1.81,2.06,1.99,6.07,3.83,1.67
SC0,01/09/18,Aberdeen,Kilmarnock,0,2,A,0,1,A,C Thomson,5,13,1,5,14,11,2,6,3,3,1,0,1.9,3.6,3.8,1.91,3.4,4,1.9,3.3,4,1.95,3.3,4,1.97,3.45,4.25,1.95,3.5,3.8,1.95,3.5,4,39,1.98,1.92,3.6,3.4,4.5,4.03,36,2.21,2.1,1.77,1.7,17,-0.5,1.99,1.93,1.94,1.9,1.91,3.56,4.53
SC0,01/09/18,Dundee,Motherwell,1,3,A,0,0,D,G Duncan,4,11,4,5,7,9,6,8,2,1,0,0,2.7,3.3,2.54,2.6,3.4,2.55,2.7,3.15,2.55,2.8,3.1,2.6,2.84,3.4,2.58,2.75,3.4,2.5,2.8,3.3,2.55,38,3,2.75,3.41,3.26,2.63,2.53,34,2.3,2.15,1.73,1.67,19,0,2.06,1.99,1.9,1.84,3.27,3.58,2.26
SC0,01/09/18,Hamilton,St Johnstone,1,2,A,0,2,A,B Madden,11,12,3,5,14,14,4,2,2,1,0,0,3.5,3.2,2.14,3.4,3.3,2.1,3.4,3.3,2.05,3.6,3.2,2.1,3.46,3.65,2.12,3.4,3.6,2.05,3.6,3.4,2.1,39,3.6,3.43,3.65,3.37,2.18,2.1,35,2.25,2.15,1.73,1.67,19,0.25,2.06,2.01,1.86,1.82,3.54,3.48,2.19
SC0,01/09/18,Hearts,St Mirren,4,1,H,4,1,H,K Clancy,30,10,7,4,13,15,10,1,2,3,0,0,1.44,4.2,7.5,1.48,4.25,6.25,1.46,4.2,6.3,1.5,4.2,7,1.48,4.69,7.07,1.44,4.75,6.5,1.5,4.33,6.5,39,1.5,1.47,4.75,4.31,7.5,6.54,37,1.86,1.8,2.05,1.98,20,-1,1.88,1.81,2.07,2.01,1.5,4.44,7.61
SC0,01/09/18,Livingston,Hibernian,2,1,H,0,0,D,S McLean,9,10,6,2,13,5,5,3,0,1,0,0,4.5,3.5,1.8,4.25,3.6,1.8,4.4,3.4,1.77,4.6,3.3,1.83,4.54,3.78,1.83,4.5,3.75,1.75,4.5,3.6,1.83,39,4.6,4.38,3.78,3.52,1.9,1.81,34,2.3,2.18,1.71,1.65,19,0.75,1.81,1.76,2.14,2.07,4.64,3.48,1.91
SC0,02/09/18,Celtic,Rangers,1,0,H,0,0,D,W Collum,16,6,9,2,14,16,14,4,2,4,0,0,1.57,4.2,5.75,1.57,4,5.5,1.6,3.95,5.1,1.6,3.9,5.5,1.62,4.31,5.42,1.6,4.2,5,1.57,4,5.25,37,1.65,1.59,4.31,4.04,5.75,5.26,34,1.84,1.77,2.12,2.01,19,-1,2.13,2.04,1.86,1.78,1.57,4.42,6.07
